04-01-2019 15:07:45 WARN  DefaultCacheManager:243 - ISPN000435: Cache manager initialized with a default cache configuration but without a name for it. Set it in the GlobalConfiguration.
04-01-2019 15:07:45 INFO  GlobalComponentRegistry:257 - ISPN000128: Infinispan version: Infinispan 'N/A' 10.0.0.Alpha2
04-01-2019 15:07:47 INFO  StartTopK:345 - source and target
04-01-2019 15:07:48 INFO  SourceSelection:131 - cache size is: ==> 0 
04-01-2019 15:11:22 INFO  SourceSelection:209 - nex data set is: ==> http://10.196.2.224:3022/disease/query 
04-01-2019 15:11:22 INFO  SourceSelection:210 - target became source for above dataset and size is: 9860  
04-01-2019 15:15:07 INFO  SourceSelection:239 - cache size is after last dataset in current datasets paths: ==> 19717 
04-01-2019 15:15:07 INFO  SourceSelection:131 - cache size is: ==> 19717 
04-01-2019 15:15:07 INFO  SourceSelection:209 - nex data set is: ==> http://10.196.2.224:3020/do/query 
04-01-2019 15:15:07 INFO  SourceSelection:210 - target became source for above dataset and size is: 4  
04-01-2019 15:15:07 INFO  SourceSelection:131 - cache size is: ==> 19718 
04-01-2019 15:15:07 INFO  SourceSelection:209 - nex data set is: ==> http://10.196.2.224:3022/disease/query 
04-01-2019 15:15:07 INFO  SourceSelection:210 - target became source for above dataset and size is: 5  
04-01-2019 15:15:07 INFO  SourceSelection:239 - cache size is after last dataset in current datasets paths: ==> 19741 
04-01-2019 15:15:08 INFO  SourceSelection:131 - cache size is: ==> 19741 
04-01-2019 15:15:27 INFO  SourceSelection:209 - nex data set is: ==> http://10.196.2.224:3022/disease/query 
04-01-2019 15:15:27 INFO  SourceSelection:210 - target became source for above dataset and size is: 9860  
04-01-2019 15:15:27 INFO  SourceSelection:131 - cache size is: ==> 19741 
04-01-2019 15:28:09 INFO  SourceSelection:209 - nex data set is: ==> http://10.196.2.224:3020/do/query 
04-01-2019 15:28:09 INFO  SourceSelection:210 - target became source for above dataset and size is: 5  
04-01-2019 15:28:09 INFO  SourceSelection:131 - cache size is: ==> 42208 
04-01-2019 15:28:09 INFO  SourceSelection:209 - nex data set is: ==> http://10.196.2.224:3022/disease/query 
04-01-2019 15:28:09 INFO  SourceSelection:210 - target became source for above dataset and size is: 5  
04-01-2019 15:28:09 INFO  SourceSelection:239 - cache size is after last dataset in current datasets paths: ==> 42220 
04-01-2019 15:28:09 INFO  SourceSelection:131 - cache size is: ==> 42220 
04-01-2019 15:28:16 INFO  SourceSelection:209 - nex data set is: ==> http://10.196.2.224:3022/disease/query 
04-01-2019 15:28:16 INFO  SourceSelection:210 - target became source for above dataset and size is: 9860  
04-01-2019 15:28:16 INFO  SourceSelection:131 - cache size is: ==> 42220 
04-01-2019 16:06:18 INFO  SystemDefaultHttpClient:726 - I/O exception (java.net.SocketException) caught when processing request: Connection reset
04-01-2019 16:06:18 INFO  SystemDefaultHttpClient:733 - Retrying request
